Países;Niveles de educación;Sexo;Periodo;Total
UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2013;20,1
UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2012;18,8
UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2011;16,5
UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2010;15,9
UE27_2020;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2009;14,5
UE27_2020;Secundaria 2ª etapa (nivel 3-4);Mujeres;2023;6,2
UE27_2020;Secundaria 2ª etapa (nivel 3-4);Mujeres;2022;6,3
UE27_2020;Secundaria 2ª etapa (nivel 3-4);Mujeres;2021;7,1
UE27_2020;Secundaria 2ª etapa (nivel 3-4);Mujeres;2020;6,9
UE27_2020;Secundaria 2ª etapa (nivel 3-4);Mujeres;2019;6,5
UE27_2020;Secundaria 2ª etapa (nivel 3-4);Mujeres;2018;7
UE27_2020;Secundaria 2ª etapa (nivel 3-4);Mujeres;2017;7,8
UE27_2020;Secundaria 2ª etapa (nivel 3-4);Mujeres;2016;8,7
UE27_2020;Secundaria 2ª etapa (nivel 3-4);Mujeres;2015;9,5
UE27_2020;Secundaria 2ª etapa (nivel 3-4);Mujeres;2014;10,3
UE27_2020;Secundaria 2ª etapa (nivel 3-4);Mujeres;2013;10,8
UE27_2020;Secundaria 2ª etapa (nivel 3-4);Mujeres;2012;10,3
UE27_2020;Secundaria 2ª etapa (nivel 3-4);Mujeres;2011;9,6
UE27_2020;Secundaria 2ª etapa (nivel 3-4);Mujeres;2010;9,6
UE27_2020;Secundaria 2ª etapa (nivel 3-4);Mujeres;2009;8,8
UE27_2020;Secundaria 2ª etapa (nivel 3-4);Hombres;2023;5,2
UE27_2020;Secundaria 2ª etapa (nivel 3-4);Hombres;2022;5,2
UE27_2020;Secundaria 2ª etapa (nivel 3-4);Hombres;2021;6
UE27_2020;Secundaria 2ª etapa (nivel 3-4);Hombres;2020;6
UE27_2020;Secundaria 2ª etapa (nivel 3-4);Hombres;2019;5,5
UE27_2020;Secundaria 2ª etapa (nivel 3-4);Hombres;2018;6
UE27_2020;Secundaria 2ª etapa (nivel 3-4);Hombres;2017;6,8
UE27_2020;Secundaria 2ª etapa (nivel 3-4);Hombres;2016;7,7
UE27_2020;Secundaria 2ª etapa (nivel 3-4);Hombres;2015;8,6
UE27_2020;Secundaria 2ª etapa (nivel 3-4);Hombres;2014;9,3
UE27_2020;Secundaria 2ª etapa (nivel 3-4);Hombres;2013;9,7
UE27_2020;Secundaria 2ª etapa (nivel 3-4);Hombres;2012;9,2
UE27_2020;Secundaria 2ª etapa (nivel 3-4);Hombres;2011;8,5
UE27_2020;Secundaria 2ª etapa (nivel 3-4);Hombres;2010;8,8
UE27_2020;Secundaria 2ª etapa (nivel 3-4);Hombres;2009;8,1
UE27_2020;Educación superior (nivel 5-8);Mujeres;2023;4,1
UE27_2020;Educación superior (nivel 5-8);Mujeres;2022;4,1
UE27_2020;Educación superior (nivel 5-8);Mujeres;2021;4,8
UE27_2020;Educación superior (nivel 5-8);Mujeres;2020;5,1
UE27_2020;Educación superior (nivel 5-8);Mujeres;2019;4,6
UE27_2020;Educación superior (nivel 5-8);Mujeres;2018;4,9
UE27_2020;Educación superior (nivel 5-8);Mujeres;2017;5,4
UE27_2020;Educación superior (nivel 5-8);Mujeres;2016;6,2
UE27_2020;Educación superior (nivel 5-8);Mujeres;2015;6,8
UE27_2020;Educación superior (nivel 5-8);Mujeres;2014;7,4
UE27_2020;Educación superior (nivel 5-8);Mujeres;2013;7,6
UE27_2020;Educación superior (nivel 5-8);Mujeres;2012;7,1
UE27_2020;Educación superior (nivel 5-8);Mujeres;2011;6,4
UE27_2020;Educación superior (nivel 5-8);Mujeres;2010;6,2
UE27_2020;Educación superior (nivel 5-8);Mujeres;2009;5,6
UE27_2020;Educación superior (nivel 5-8);Hombres;2023;3,4
UE27_2020;Educación superior (nivel 5-8);Hombres;2022;3,5
UE27_2020;Educación superior (nivel 5-8);Hombres;2021;4,2
UE27_2020;Educación superior (nivel 5-8);Hombres;2020;4,3
UE27_2020;Educación superior (nivel 5-8);Hombres;2019;3,8
UE27_2020;Educación superior (nivel 5-8);Hombres;2018;4
UE27_2020;Educación superior (nivel 5-8);Hombres;2017;4,3
UE27_2020;Educación superior (nivel 5-8);Hombres;2016;4,9
UE27_2020;Educación superior (nivel 5-8);Hombres;2015;5,5
UE27_2020;Educación superior (nivel 5-8);Hombres;2014;6
UE27_2020;Educación superior (nivel 5-8);Hombres;2013;6,2
UE27_2020;Educación superior (nivel 5-8);Hombres;2012;5,8
UE27_2020;Educación superior (nivel 5-8);Hombres;2011;5,1
UE27_2020;Educación superior (nivel 5-8);Hombres;2010;5,1
UE27_2020;Educación superior (nivel 5-8);Hombres;2009;4,7
UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2023;..
UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2022;..
UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2021;..
UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2020;..
UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2019;13,5
UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2018;14,1
UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2017;15,5
UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2016;16,6
UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2015;17,5
UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2014;18,4
UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2013;18,9
UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2012;17,8
UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2011;16,1
UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2010;15,4
UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2009;14,3
UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2023;..
UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2022;..
UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2021;..
UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2020;..
UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2019;11,8
UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2018;12,7
UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2017;14,3
UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2016;15,8
UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2015;17,3
UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2014;18,7
UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2013;19,5
UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2012;18,4
UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2011;16,4
UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2010;15,8
UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2009;14,5
UE-28;Secundaria 2ª etapa (nivel 3-4);Mujeres;2023;..
UE-28;Secundaria 2ª etapa (nivel 3-4);Mujeres;2022;..
UE-28;Secundaria 2ª etapa (nivel 3-4);Mujeres;2021;..
UE-28;Secundaria 2ª etapa (nivel 3-4);Mujeres;2020;..
UE-28;Secundaria 2ª etapa (nivel 3-4);Mujeres;2019;6,2
UE-28;Secundaria 2ª etapa (nivel 3-4);Mujeres;2018;6,8
UE-28;Secundaria 2ª etapa (nivel 3-4);Mujeres;2017;7,4
UE-28;Secundaria 2ª etapa (nivel 3-4);Mujeres;2016;8,3
UE-28;Secundaria 2ª etapa (nivel 3-4);Mujeres;2015;9,1
UE-28;Secundaria 2ª etapa (nivel 3-4);Mujeres;2014;9,9
UE-28;Secundaria 2ª etapa (nivel 3-4);Mujeres;2013;10,5
UE-28;Secundaria 2ª etapa (nivel 3-4);Mujeres;2012;10,1
UE-28;Secundaria 2ª etapa (nivel 3-4);Mujeres;2011;9,4
UE-28;Secundaria 2ª etapa (nivel 3-4);Mujeres;2010;9,3
UE-28;Secundaria 2ª etapa (nivel 3-4);Mujeres;2009;8,5
UE-28;Secundaria 2ª etapa (nivel 3-4);Hombres;2023;..
UE-28;Secundaria 2ª etapa (nivel 3-4);Hombres;2022;..
UE-28;Secundaria 2ª etapa (nivel 3-4);Hombres;2021;..
UE-28;Secundaria 2ª etapa (nivel 3-4);Hombres;2020;..
UE-28;Secundaria 2ª etapa (nivel 3-4);Hombres;2019;5,3
UE-28;Secundaria 2ª etapa (nivel 3-4);Hombres;2018;5,8
UE-28;Secundaria 2ª etapa (nivel 3-4);Hombres;2017;6,6
UE-28;Secundaria 2ª etapa (nivel 3-4);Hombres;2016;7,4
UE-28;Secundaria 2ª etapa (nivel 3-4);Hombres;2015;8,3
UE-28;Secundaria 2ª etapa (nivel 3-4);Hombres;2014;9
UE-28;Secundaria 2ª etapa (nivel 3-4);Hombres;2013;9,6
UE-28;Secundaria 2ª etapa (nivel 3-4);Hombres;2012;9,2
UE-28;Secundaria 2ª etapa (nivel 3-4);Hombres;2011;8,6
UE-28;Secundaria 2ª etapa (nivel 3-4);Hombres;2010;8,7
UE-28;Secundaria 2ª etapa (nivel 3-4);Hombres;2009;8,2
UE-28;Educación superior (nivel 5-8);Mujeres;2023;..
UE-28;Educación superior (nivel 5-8);Mujeres;2022;..
UE-28;Educación superior (nivel 5-8);Mujeres;2021;..
UE-28;Educación superior (nivel 5-8);Mujeres;2020;..
UE-28;Educación superior (nivel 5-8);Mujeres;2019;4,2
UE-28;Educación superior (nivel 5-8);Mujeres;2018;4,5
UE-28;Educación superior (nivel 5-8);Mujeres;2017;5
UE-28;Educación superior (nivel 5-8);Mujeres;2016;5,6
UE-28;Educación superior (nivel 5-8);Mujeres;2015;6,1
UE-28;Educación superior (nivel 5-8);Mujeres;2014;6,7
UE-28;Educación superior (nivel 5-8);Mujeres;2013;7
UE-28;Educación superior (nivel 5-8);Mujeres;2012;6,6
UE-28;Educación superior (nivel 5-8);Mujeres;2011;6
UE-28;Educación superior (nivel 5-8);Mujeres;2010;5,7
UE-28;Educación superior (nivel 5-8);Mujeres;2009;5,2
UE-28;Educación superior (nivel 5-8);Hombres;2023;..
UE-28;Educación superior (nivel 5-8);Hombres;2022;..
UE-28;Educación superior (nivel 5-8);Hombres;2021;..
UE-28;Educación superior (nivel 5-8);Hombres;2020;..
UE-28;Educación superior (nivel 5-8);Hombres;2019;3,6
UE-28;Educación superior (nivel 5-8);Hombres;2018;3,8
UE-28;Educación superior (nivel 5-8);Hombres;2017;4
UE-28;Educación superior (nivel 5-8);Hombres;2016;4,5
UE-28;Educación superior (nivel 5-8);Hombres;2015;5,1
UE-28;Educación superior (nivel 5-8);Hombres;2014;5,5
UE-28;Educación superior (nivel 5-8);Hombres;2013;5,8
UE-28;Educación superior (nivel 5-8);Hombres;2012;5,5
UE-28;Educación superior (nivel 5-8);Hombres;2011;5
UE-28;Educación superior (nivel 5-8);Hombres;2010;5
UE-28;Educación superior (nivel 5-8);Hombres;2009;4,7
Bélgica;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2023;13
Bélgica;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2022;13,3
Bélgica;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2021;15,1
Bélgica;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2020;12,7
Bélgica;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2019;12,1
Bélgica;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2018;13
Bélgica;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2017;14,3
Bélgica;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2016;16,1
Bélgica;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2015;15,7
Bélgica;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2014;15,6
Bélgica;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2013;15,5
Bélgica;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2012;14,1
Bélgica;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2011;14,4
Bélgica;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2010;15,8
Bélgica;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2009;14,5
Bélgica;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2023;13,2
Bélgica;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2022;13
Bélgica;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2021;14,1
Bélgica;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2020;11,7
Bélgica;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2019;12
Bélgica;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2018;13,3
Bélgica;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2017;14,8
Bélgica;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2016;15,8
Bélgica;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2015;17,4
Bélgica;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2014;16,6
Bélgica;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2013;16
Bélgica;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2012;14
Bélgica;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2011;13,6
Bélgica;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2010;14,9
Bélgica;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2009;13
Bélgica;Secundaria 2ª etapa (nivel 3-4);Mujeres;2023;6,2
Bélgica;Secundaria 2ª etapa (nivel 3-4);Mujeres;2022;6,8
Bélgica;Secundaria 2ª etapa (nivel 3-4);Mujeres;2021;7,2
Bélgica;Secundaria 2ª etapa (nivel 3-4);Mujeres;2020;6,2
Bélgica;Secundaria 2ª etapa (nivel 3-4);Mujeres;2019;5,2
Bélgica;Secundaria 2ª etapa (nivel 3-4);Mujeres;2018;6,2
Bélgica;Secundaria 2ª etapa (nivel 3-4);Mujeres;2017;7,7
Bélgica;Secundaria 2ª etapa (nivel 3-4);Mujeres;2016;8,3
Bélgica;Secundaria 2ª etapa (nivel 3-4);Mujeres;2015;9
Bélgica;Secundaria 2ª etapa (nivel 3-4);Mujeres;2014;8,8
Bélgica;Secundaria 2ª etapa (nivel 3-4);Mujeres;2013;8,6
Bélgica;Secundaria 2ª etapa (nivel 3-4);Mujeres;2012;8,6
Bélgica;Secundaria 2ª etapa (nivel 3-4);Mujeres;2011;7,8
Bélgica;Secundaria 2ª etapa (nivel 3-4);Mujeres;2010;9,4
Bélgica;Secundaria 2ª etapa (nivel 3-4);Mujeres;2009;9
Bélgica;Secundaria 2ª etapa (nivel 3-4);Hombres;2023;6,3
Bélgica;Secundaria 2ª etapa (nivel 3-4);Hombres;2022;6
Bélgica;Secundaria 2ª etapa (nivel 3-4);Hombres;2021;6,8
Bélgica;Secundaria 2ª etapa (nivel 3-4);Hombres;2020;5,4
Bélgica;Secundaria 2ª etapa (nivel 3-4);Hombres;2019;5,4
Bélgica;Secundaria 2ª etapa (nivel 3-4);Hombres;2018;5,8
Bélgica;Secundaria 2ª etapa (nivel 3-4);Hombres;2017;6,7
Bélgica;Secundaria 2ª etapa (nivel 3-4);Hombres;2016;7,9
Bélgica;Secundaria 2ª etapa (nivel 3-4);Hombres;2015;8,5
Bélgica;Secundaria 2ª etapa (nivel 3-4);Hombres;2014;8,8
Bélgica;Secundaria 2ª etapa (nivel 3-4);Hombres;2013;8
Bélgica;Secundaria 2ª etapa (nivel 3-4);Hombres;2012;7,1
Bélgica;Secundaria 2ª etapa (nivel 3-4);Hombres;2011;6
Bélgica;Secundaria 2ª etapa (nivel 3-4);Hombres;2010;7,2
Bélgica;Secundaria 2ª etapa (nivel 3-4);Hombres;2009;7,4
Bélgica;Educación superior (nivel 5-8);Mujeres;2023;2,9
Bélgica;Educación superior (nivel 5-8);Mujeres;2022;2,9
Bélgica;Educación superior (nivel 5-8);Mujeres;2021;3,5
Bélgica;Educación superior (nivel 5-8);Mujeres;2020;3,3
Bélgica;Educación superior (nivel 5-8);Mujeres;2019;3,1
Bélgica;Educación superior (nivel 5-8);Mujeres;2018;3,3
Bélgica;Educación superior (nivel 5-8);Mujeres;2017;4,7
Bélgica;Educación superior (nivel 5-8);Mujeres;2016;4,4
Bélgica;Educación superior (nivel 5-8);Mujeres;2015;4,3
Bélgica;Educación superior (nivel 5-8);Mujeres;2014;4,7
Bélgica;Educación superior (nivel 5-8);Mujeres;2013;5,2
Bélgica;Educación superior (nivel 5-8);Mujeres;2012;3,9
Bélgica;Educación superior (nivel 5-8);Mujeres;2011;3,8
Bélgica;Educación superior (nivel 5-8);Mujeres;2010;4,6
Bélgica;Educación superior (nivel 5-8);Mujeres;2009;4,6
Bélgica;Educación superior (nivel 5-8);Hombres;2023;3
Bélgica;Educación superior (nivel 5-8);Hombres;2022;3,3
Bélgica;Educación superior (nivel 5-8);Hombres;2021;3,7
Bélgica;Educación superior (nivel 5-8);Hombres;2020;3,6
Bélgica;Educación superior (nivel 5-8);Hombres;2019;3,3
Bélgica;Educación superior (nivel 5-8);Hombres;2018;3,6
Bélgica;Educación superior (nivel 5-8);Hombres;2017;3,8
Bélgica;Educación superior (nivel 5-8);Hombres;2016;4
Bélgica;Educación superior (nivel 5-8);Hombres;2015;4,9
Bélgica;Educación superior (nivel 5-8);Hombres;2014;4,6
Bélgica;Educación superior (nivel 5-8);Hombres;2013;4,6
Bélgica;Educación superior (nivel 5-8);Hombres;2012;4
Bélgica;Educación superior (nivel 5-8);Hombres;2011;3,8
Bélgica;Educación superior (nivel 5-8);Hombres;2010;4,3
Bélgica;Educación superior (nivel 5-8);Hombres;2009;4,4
Bulgaria;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2023;16,2
Bulgaria;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2022;14,1
Bulgaria;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2021;18,4
Bulgaria;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2020;16,1
Bulgaria;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2019;14,5
Bulgaria;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2018;16,4
Bulgaria;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2017;20,7
Bulgaria;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2016;23,5
Bulgaria;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2015;26,3
Bulgaria;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2014;28,1
Bulgaria;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2013;29,3
Bulgaria;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2012;27,7
Bulgaria;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2011;26,8
Bulgaria;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2010;23,1
Bulgaria;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Mujeres;2009;16,5
Bulgaria;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2023;10,9
Bulgaria;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2022;11,8
Bulgaria;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2021;14,6
Bulgaria;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2020;12,6
Bulgaria;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2019;12,2
Bulgaria;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2018;15
Bulgaria;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2017;16,4
Bulgaria;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2016;21,4
Bulgaria;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2015;24,3
Bulgaria;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2014;28,5
Bulgaria;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2013;30,3
Bulgaria;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2012;28,2
Bulgaria;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2011;26,1
Bulgaria;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2010;22,4
Bulgaria;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);Hombres;2009;14,8
Bulgaria;Secundaria 2ª etapa (nivel 3-4);Mujeres;2023;4
Bulgaria;Secundaria 2ª etapa (nivel 3-4);Mujeres;2022;4,1
Bulgaria;Secundaria 2ª etapa (nivel 3-4);Mujeres;2021;4,9
Bulgaria;Secundaria 2ª etapa (nivel 3-4);Mujeres;2020;4,4
Bulgaria;Secundaria 2ª etapa (nivel 3-4);Mujeres;2019;3
Bulgaria;Secundaria 2ª etapa (nivel 3-4);Mujeres;2018;4,1
Bulgaria;Secundaria 2ª etapa (nivel 3-4);Mujeres;2017;5,3
Bulgaria;Secundaria 2ª etapa (nivel 3-4);Mujeres;2016;6,6
Bulgaria;Secundaria 2ª etapa (nivel 3-4);Mujeres;2015;8
Bulgaria;Secundaria 2ª etapa (nivel 3-4);Mujeres;2014;10,4
Bulgaria;Secundaria 2ª etapa (nivel 3-4);Mujeres;2013;11,7
Bulgaria;Secundaria 2ª etapa (nivel 3-4);Mujeres;2012;10,4
Bulgaria;Secundaria 2ª etapa (nivel 3-4);Mujeres;2011;9,5
Bulgaria;Secundaria 2ª etapa (nivel 3-4);Mujeres;2010;9,5
Bulgaria;Secundaria 2ª etapa (nivel 3-4);Mujeres;2009;6,2
Bulgaria;Secundaria 2ª etapa (nivel 3-4);Hombres;2023;4,3
Bulgaria;Secundaria 2ª etapa (nivel 3-4);Hombres;2022;3,8
Bulgaria;Secundaria 2ª etapa (nivel 3-4);Hombres;2021;4,9
Bulgaria;Secundaria 2ª etapa (nivel 3-4);Hombres;2020;4,9
Bulgaria;Secundaria 2ª etapa (nivel 3-4);Hombres;2019;3,7
Bulgaria;Secundaria 2ª etapa (nivel 3-4);Hombres;2018;4,8
Bulgaria;Secundaria 2ª etapa (nivel 3-4);Hombres;2017;5,3
Bulgaria;Secundaria 2ª etapa (nivel 3-4);Hombres;2016;6,8
Bulgaria;Secundaria 2ª etapa (nivel 3-4);Hombres;2015;8,5
Bulgaria;Secundaria 2ª etapa (nivel 3-4);Hombres;2014;10,8
Bulgaria;Secundaria 2ª etapa (nivel 3-4);Hombres;2013;12,8
Bulgaria;Secundaria 2ª etapa (nivel 3-4);Hombres;2012;12,6
Bulgaria;Secundaria 2ª etapa (nivel 3-4);Hombres;2011;11,2
Bulgaria;Secundaria 2ª etapa (nivel 3-4);Hombres;2010;9,9
Bulgaria;Secundaria 2ª etapa (nivel 3-4);Hombres;2009;6,2
Bulgaria;Educación superior (nivel 5-8);Mujeres;2023;2
Bulgaria;Educación superior (nivel 5-8);Mujeres;2022;1,3
Bulgaria;Educación superior (nivel 5-8);Mujeres;2021;2
Bulgaria;Educación superior (nivel 5-8);Mujeres;2020;2,4
Bulgaria;Educación superior (nivel 5-8);Mujeres;2019;2
Bulgaria;Educación superior (nivel 5-8);Mujeres;2018;2,2
Bulgaria;Educación superior (nivel 5-8);Mujeres;2017;2,9
Bulgaria;Educación superior (nivel 5-8);Mujeres;2016;3,3
Bulgaria;Educación superior (nivel 5-8);Mujeres;2015;3,9
Bulgaria;Educación superior (nivel 5-8);Mujeres;2014;4,8
Bulgaria;Educación superior (nivel 5-8);Mujeres;2013;6,4
Bulgaria;Educación superior (nivel 5-8);Mujeres;2012;5,5
Bulgaria;Educación superior (nivel 5-8);Mujeres;2011;5
Bulgaria;Educación superior (nivel 5-8);Mujeres;2010;4,5
Bulgaria;Educación superior (nivel 5-8);Mujeres;2009;3
