Países;Sexo/Brecha de género;Niveles de educación;Periodo;Total
Bélgica;Mujeres;Secundaria 2ª etapa (nivel 3-4);2017;60,4
Bélgica;Mujeres;Secundaria 2ª etapa (nivel 3-4);2016;60,5
Bélgica;Mujeres;Secundaria 2ª etapa (nivel 3-4);2015;61,2
Bélgica;Mujeres;Secundaria 2ª etapa (nivel 3-4);2014;61,3
Bélgica;Mujeres;Secundaria 2ª etapa (nivel 3-4);2013;62,3
Bélgica;Mujeres;Educación superior (nivel 5-8);2023;83,6
Bélgica;Mujeres;Educación superior (nivel 5-8);2022;83,2
Bélgica;Mujeres;Educación superior (nivel 5-8);2021;82
Bélgica;Mujeres;Educación superior (nivel 5-8);2020;81,6
Bélgica;Mujeres;Educación superior (nivel 5-8);2019;81,8
Bélgica;Mujeres;Educación superior (nivel 5-8);2018;81,5
Bélgica;Mujeres;Educación superior (nivel 5-8);2017;79,8
Bélgica;Mujeres;Educación superior (nivel 5-8);2016;80,3
Bélgica;Mujeres;Educación superior (nivel 5-8);2015;80
Bélgica;Mujeres;Educación superior (nivel 5-8);2014;80
Bélgica;Mujeres;Educación superior (nivel 5-8);2013;78,4
Bélgica;Hombres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2023;55,1
Bélgica;Hombres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2022;55,5
Bélgica;Hombres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2021;53,3
Bélgica;Hombres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2020;53,8
Bélgica;Hombres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2019;54,1
Bélgica;Hombres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2018;53,4
Bélgica;Hombres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2017;54,2
Bélgica;Hombres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2016;53,3
Bélgica;Hombres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2015;53,1
Bélgica;Hombres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2014;54,6
Bélgica;Hombres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2013;55,5
Bélgica;Hombres;Secundaria 2ª etapa (nivel 3-4);2023;73,5
Bélgica;Hombres;Secundaria 2ª etapa (nivel 3-4);2022;73,6
Bélgica;Hombres;Secundaria 2ª etapa (nivel 3-4);2021;72,9
Bélgica;Hombres;Secundaria 2ª etapa (nivel 3-4);2020;74
Bélgica;Hombres;Secundaria 2ª etapa (nivel 3-4);2019;75,4
Bélgica;Hombres;Secundaria 2ª etapa (nivel 3-4);2018;74,6
Bélgica;Hombres;Secundaria 2ª etapa (nivel 3-4);2017;74,2
Bélgica;Hombres;Secundaria 2ª etapa (nivel 3-4);2016;74
Bélgica;Hombres;Secundaria 2ª etapa (nivel 3-4);2015;72,5
Bélgica;Hombres;Secundaria 2ª etapa (nivel 3-4);2014;72,7
Bélgica;Hombres;Secundaria 2ª etapa (nivel 3-4);2013;74,4
Bélgica;Hombres;Educación superior (nivel 5-8);2023;88,6
Bélgica;Hombres;Educación superior (nivel 5-8);2022;87,3
Bélgica;Hombres;Educación superior (nivel 5-8);2021;86,6
Bélgica;Hombres;Educación superior (nivel 5-8);2020;86
Bélgica;Hombres;Educación superior (nivel 5-8);2019;86,4
Bélgica;Hombres;Educación superior (nivel 5-8);2018;85,9
Bélgica;Hombres;Educación superior (nivel 5-8);2017;85,1
Bélgica;Hombres;Educación superior (nivel 5-8);2016;84,4
Bélgica;Hombres;Educación superior (nivel 5-8);2015;84,1
Bélgica;Hombres;Educación superior (nivel 5-8);2014;84,3
Bélgica;Hombres;Educación superior (nivel 5-8);2013;84,1
Bélgica;Brecha de género (hombres - mujeres);Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2023;18,1
Bélgica;Brecha de género (hombres - mujeres);Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2022;19,9
Bélgica;Brecha de género (hombres - mujeres);Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2021;18,6
Bélgica;Brecha de género (hombres - mujeres);Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2020;17,9
Bélgica;Brecha de género (hombres - mujeres);Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2019;17,1
Bélgica;Brecha de género (hombres - mujeres);Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2018;16,6
Bélgica;Brecha de género (hombres - mujeres);Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2017;17,5
Bélgica;Brecha de género (hombres - mujeres);Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2016;16,1
Bélgica;Brecha de género (hombres - mujeres);Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2015;15,8
Bélgica;Brecha de género (hombres - mujeres);Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2014;17
Bélgica;Brecha de género (hombres - mujeres);Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2013;18,3
Bélgica;Brecha de género (hombres - mujeres);Secundaria 2ª etapa (nivel 3-4);2023;11,7
Bélgica;Brecha de género (hombres - mujeres);Secundaria 2ª etapa (nivel 3-4);2022;11,6
Bélgica;Brecha de género (hombres - mujeres);Secundaria 2ª etapa (nivel 3-4);2021;12
Bélgica;Brecha de género (hombres - mujeres);Secundaria 2ª etapa (nivel 3-4);2020;12,9
Bélgica;Brecha de género (hombres - mujeres);Secundaria 2ª etapa (nivel 3-4);2019;11,9
Bélgica;Brecha de género (hombres - mujeres);Secundaria 2ª etapa (nivel 3-4);2018;12,2
Bélgica;Brecha de género (hombres - mujeres);Secundaria 2ª etapa (nivel 3-4);2017;13,8
Bélgica;Brecha de género (hombres - mujeres);Secundaria 2ª etapa (nivel 3-4);2016;13,5
Bélgica;Brecha de género (hombres - mujeres);Secundaria 2ª etapa (nivel 3-4);2015;11,3
Bélgica;Brecha de género (hombres - mujeres);Secundaria 2ª etapa (nivel 3-4);2014;11,4
Bélgica;Brecha de género (hombres - mujeres);Secundaria 2ª etapa (nivel 3-4);2013;12,1
Bélgica;Brecha de género (hombres - mujeres);Educación superior (nivel 5-8);2023;5
Bélgica;Brecha de género (hombres - mujeres);Educación superior (nivel 5-8);2022;4,1
Bélgica;Brecha de género (hombres - mujeres);Educación superior (nivel 5-8);2021;4,6
Bélgica;Brecha de género (hombres - mujeres);Educación superior (nivel 5-8);2020;4,4
Bélgica;Brecha de género (hombres - mujeres);Educación superior (nivel 5-8);2019;4,6
Bélgica;Brecha de género (hombres - mujeres);Educación superior (nivel 5-8);2018;4,4
Bélgica;Brecha de género (hombres - mujeres);Educación superior (nivel 5-8);2017;5,3
Bélgica;Brecha de género (hombres - mujeres);Educación superior (nivel 5-8);2016;4,1
Bélgica;Brecha de género (hombres - mujeres);Educación superior (nivel 5-8);2015;4,1
Bélgica;Brecha de género (hombres - mujeres);Educación superior (nivel 5-8);2014;4,3
Bélgica;Brecha de género (hombres - mujeres);Educación superior (nivel 5-8);2013;5,7
Bulgaria;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2023;39,5
Bulgaria;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2022;41,3
Bulgaria;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2021;35,7
Bulgaria;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2020;37,5
Bulgaria;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2019;40,5
Bulgaria;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2018;36,4
Bulgaria;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2017;35,2
Bulgaria;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2016;31,1
Bulgaria;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2015;32,1
Bulgaria;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2014;32,5
Bulgaria;Mujeres;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);2013;31,5
Bulgaria;Mujeres;Secundaria 2ª etapa (nivel 3-4);2023;70,7
Bulgaria;Mujeres;Secundaria 2ª etapa (nivel 3-4);2022;70,1
Bulgaria;Mujeres;Secundaria 2ª etapa (nivel 3-4);2021;67,3
Bulgaria;Mujeres;Secundaria 2ª etapa (nivel 3-4);2020;67,9
Bulgaria;Mujeres;Secundaria 2ª etapa (nivel 3-4);2019;70,8
Bulgaria;Mujeres;Secundaria 2ª etapa (nivel 3-4);2018;68,6
Bulgaria;Mujeres;Secundaria 2ª etapa (nivel 3-4);2017;67,2
Bulgaria;Mujeres;Secundaria 2ª etapa (nivel 3-4);2016;63,3
Bulgaria;Mujeres;Secundaria 2ª etapa (nivel 3-4);2015;63
Bulgaria;Mujeres;Secundaria 2ª etapa (nivel 3-4);2014;61,4
Bulgaria;Mujeres;Secundaria 2ª etapa (nivel 3-4);2013;60,2
Bulgaria;Mujeres;Educación superior (nivel 5-8);2023;88,9
Bulgaria;Mujeres;Educación superior (nivel 5-8);2022;88,8
Bulgaria;Mujeres;Educación superior (nivel 5-8);2021;87,3
