Sexo;Países;Niveles de educación;Grupos de edad;Periodo;Total
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 15 a 24 años;2022;13,2
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 15 a 24 años;2021;15,2
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 15 a 24 años;2020;14,9
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 15 a 24 años;2019;13
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 15 a 24 años;2018;14,1
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 15 a 24 años;2017;15,7
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 15 a 24 años;2016;17,8
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 15 a 24 años;2015;19,2
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 15 a 24 años;2014;21,1
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 15 a 24 años;2013;21,8
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 15 a 24 años;2012;21,1
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 15 a 24 años;2011;19,2
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 15 a 24 años;2010;18,8
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 15 a 24 años;2009;17,1
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 25 a 49 años;2023;6,3
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 25 a 49 años;2022;6,4
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 25 a 49 años;2021;7,2
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 25 a 49 años;2020;7,1
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 25 a 49 años;2019;6,7
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 25 a 49 años;2018;7,3
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 25 a 49 años;2017;7,9
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 25 a 49 años;2016;8,8
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 25 a 49 años;2015;9,5
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 25 a 49 años;2014;10,3
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 25 a 49 años;2013;10,6
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 25 a 49 años;2012;10
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 25 a 49 años;2011;9,1
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 25 a 49 años;2010;9
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 25 a 49 años;2009;8,2
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 50 a 59 años;2023;4,1
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 50 a 59 años;2022;4,3
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 50 a 59 años;2021;4,8
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 50 a 59 años;2020;4,5
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 50 a 59 años;2019;4,2
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 50 a 59 años;2018;4,6
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 50 a 59 años;2017;5,2
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 50 a 59 años;2016;5,7
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 50 a 59 años;2015;6,3
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 50 a 59 años;2014;6,9
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 50 a 59 años;2013;7,2
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 50 a 59 años;2012;6,9
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 50 a 59 años;2011;6,7
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 50 a 59 años;2010;6,9
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 50 a 59 años;2009;6,6
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 60 a 64 años;2023;4,2
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 60 a 64 años;2022;4,5
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 60 a 64 años;2021;4,7
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 60 a 64 años;2020;4,2
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 60 a 64 años;2019;4,5
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 60 a 64 años;2018;4,2
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 60 a 64 años;2017;4,6
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 60 a 64 años;2016;5,1
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 60 a 64 años;2015;5,2
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 60 a 64 años;2014;5,6
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 60 a 64 años;2013;6
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 60 a 64 años;2012;6
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 60 a 64 años;2011;5,3
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 60 a 64 años;2010;5,6
Mujeres;UE27_2020;Secundaria 2ª etapa (nivel 3-4);De 60 a 64 años;2009;5,6
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 15 a 24 años;2023;10,8
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 15 a 24 años;2022;11,2
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 15 a 24 años;2021;13
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 15 a 24 años;2020;14,3
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 15 a 24 años;2019;11,6
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 15 a 24 años;2018;12,4
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 15 a 24 años;2017;14,1
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 15 a 24 años;2016;16,3
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 15 a 24 años;2015;17,8
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 15 a 24 años;2014;19,7
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 15 a 24 años;2013;21,4
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 15 a 24 años;2012;20,9
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 15 a 24 años;2011;19,2
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 15 a 24 años;2010;17,7
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 15 a 24 años;2009;16,3
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 25 a 49 años;2023;4,1
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 25 a 49 años;2022;4
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 25 a 49 años;2021;4,8
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 25 a 49 años;2020;5,2
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 25 a 49 años;2019;4,8
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 25 a 49 años;2018;5,1
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 25 a 49 años;2017;5,6
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 25 a 49 años;2016;6,3
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 25 a 49 años;2015;7,1
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 25 a 49 años;2014;7,7
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 25 a 49 años;2013;7,9
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 25 a 49 años;2012;7,3
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 25 a 49 años;2011;6,4
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 25 a 49 años;2010;6,2
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 25 a 49 años;2009;5,5
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 50 a 59 años;2023;2,9
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 50 a 59 años;2022;3
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 50 a 59 años;2021;3,4
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 50 a 59 años;2020;3,2
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 50 a 59 años;2019;3
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 50 a 59 años;2018;3,1
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 50 a 59 años;2017;3,5
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 50 a 59 años;2016;3,9
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 50 a 59 años;2015;3,9
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 50 a 59 años;2014;3,7
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 50 a 59 años;2013;3,8
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 50 a 59 años;2012;3,5
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 50 a 59 años;2011;3,4
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 50 a 59 años;2010;3,4
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 50 a 59 años;2009;3,2
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 60 a 64 años;2023;3,1
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 60 a 64 años;2022;3,5
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 60 a 64 años;2021;3,5
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 60 a 64 años;2020;3,1
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 60 a 64 años;2019;2,8
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 60 a 64 años;2018;3,1
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 60 a 64 años;2017;3,2
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 60 a 64 años;2016;3,4
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 60 a 64 años;2015;3,4
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 60 a 64 años;2014;3,6
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 60 a 64 años;2013;3,8
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 60 a 64 años;2012;3,5
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 60 a 64 años;2011;3,5
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 60 a 64 años;2010;3,5
Mujeres;UE27_2020;Educación superior (nivel 5-8);De 60 a 64 años;2009;3,4
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 15 a 24 años;2023;..
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 15 a 24 años;2022;..
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 15 a 24 años;2021;..
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 15 a 24 años;2020;..
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 15 a 24 años;2019;21,1
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 15 a 24 años;2018;21,2
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 15 a 24 años;2017;24,1
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 15 a 24 años;2016;26,1
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 15 a 24 años;2015;28,2
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 15 a 24 años;2014;30,1
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 15 a 24 años;2013;31,8
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 15 a 24 años;2012;30,8
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 15 a 24 años;2011;28,6
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 15 a 24 años;2010;27,5
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 15 a 24 años;2009;26
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 25 a 49 años;2023;..
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 25 a 49 años;2022;..
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 25 a 49 años;2021;..
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 25 a 49 años;2020;..
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 25 a 49 años;2019;15,8
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 25 a 49 años;2018;16,7
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 25 a 49 años;2017;18
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 25 a 49 años;2016;19,3
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 25 a 49 años;2015;20
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 25 a 49 años;2014;20,9
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 25 a 49 años;2013;21,4
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 25 a 49 años;2012;20,2
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 25 a 49 años;2011;18,1
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 25 a 49 años;2010;17,2
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 25 a 49 años;2009;15,7
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 50 a 59 años;2023;..
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 50 a 59 años;2022;..
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 50 a 59 años;2021;..
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 50 a 59 años;2020;..
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 50 a 59 años;2019;10,1
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 50 a 59 años;2018;10,6
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 50 a 59 años;2017;11,6
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 50 a 59 años;2016;12,2
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 50 a 59 años;2015;12,9
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 50 a 59 años;2014;13,4
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 50 a 59 años;2013;13,2
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 50 a 59 años;2012;12
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 50 a 59 años;2011;10,5
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 50 a 59 años;2010;10
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 50 a 59 años;2009;9,2
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 60 a 64 años;2023;..
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 60 a 64 años;2022;..
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 60 a 64 años;2021;..
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 60 a 64 años;2020;..
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 60 a 64 años;2019;7,9
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 60 a 64 años;2018;8,5
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 60 a 64 años;2017;8,8
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 60 a 64 años;2016;9
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 60 a 64 años;2015;9,4
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 60 a 64 años;2014;9,2
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 60 a 64 años;2013;9,4
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 60 a 64 años;2012;7,7
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 60 a 64 años;2011;6
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 60 a 64 años;2010;5,9
Mujeres;UE-28;Preescolar, primaria y secundaria 1ª etapa (nivel 0-2);De 60 a 64 años;2009;5,4
Mujeres;UE-28;Secundaria 2ª etapa (nivel 3-4);De 15 a 24 años;2023;..
Mujeres;UE-28;Secundaria 2ª etapa (nivel 3-4);De 15 a 24 años;2022;..
Mujeres;UE-28;Secundaria 2ª etapa (nivel 3-4);De 15 a 24 años;2021;..
Mujeres;UE-28;Secundaria 2ª etapa (nivel 3-4);De 15 a 24 años;2020;..
Mujeres;UE-28;Secundaria 2ª etapa (nivel 3-4);De 15 a 24 años;2019;12,1
Mujeres;UE-28;Secundaria 2ª etapa (nivel 3-4);De 15 a 24 años;2018;13,4
Mujeres;UE-28;Secundaria 2ª etapa (nivel 3-4);De 15 a 24 años;2017;14,5
Mujeres;UE-28;Secundaria 2ª etapa (nivel 3-4);De 15 a 24 años;2016;16,2
Mujeres;UE-28;Secundaria 2ª etapa (nivel 3-4);De 15 a 24 años;2015;17,7
Mujeres;UE-28;Secundaria 2ª etapa (nivel 3-4);De 15 a 24 años;2014;19,6
Mujeres;UE-28;Secundaria 2ª etapa (nivel 3-4);De 15 a 24 años;2013;20,7
Mujeres;UE-28;Secundaria 2ª etapa (nivel 3-4);De 15 a 24 años;2012;20,1
Mujeres;UE-28;Secundaria 2ª etapa (nivel 3-4);De 15 a 24 años;2011;18,8
Mujeres;UE-28;Secundaria 2ª etapa (nivel 3-4);De 15 a 24 años;2010;18,1
Mujeres;UE-28;Secundaria 2ª etapa (nivel 3-4);De 15 a 24 años;2009;16,2
Mujeres;UE-28;Secundaria 2ª etapa (nivel 3-4);De 25 a 49 años;2023;..
Mujeres;UE-28;Secundaria 2ª etapa (nivel 3-4);De 25 a 49 años;2022;..
Mujeres;UE-28;Secundaria 2ª etapa (nivel 3-4);De 25 a 49 años;2021;..
Mujeres;UE-28;Secundaria 2ª etapa (nivel 3-4);De 25 a 49 años;2020;..
Mujeres;UE-28;Secundaria 2ª etapa (nivel 3-4);De 25 a 49 años;2019;6,4
Mujeres;UE-28;Secundaria 2ª etapa (nivel 3-4);De 25 a 49 años;2018;6,9
Mujeres;UE-28;Secundaria 2ª etapa (nivel 3-4);De 25 a 49 años;2017;7,5
Mujeres;UE-28;Secundaria 2ª etapa (nivel 3-4);De 25 a 49 años;2016;8,3
Mujeres;UE-28;Secundaria 2ª etapa (nivel 3-4);De 25 a 49 años;2015;9,1
Mujeres;UE-28;Secundaria 2ª etapa (nivel 3-4);De 25 a 49 años;2014;9,8
