Países;Sexo/Brecha de género;Grupos de edad;Periodo;Total
Bélgica;Mujeres;Menos de 25 años;2010;22,4
Bélgica;Mujeres;Menos de 25 años;2009;22,6
Bélgica;Mujeres;25 y más años;2023;4,2
Bélgica;Mujeres;25 y más años;2022;4,5
Bélgica;Mujeres;25 y más años;2021;5
Bélgica;Mujeres;25 y más años;2020;4,7
Bélgica;Mujeres;25 y más años;2019;4,4
Bélgica;Mujeres;25 y más años;2018;4,8
Bélgica;Mujeres;25 y más años;2017;6,3
Bélgica;Mujeres;25 y más años;2016;6,8
Bélgica;Mujeres;25 y más años;2015;6,9
Bélgica;Mujeres;25 y más años;2014;6,8
Bélgica;Mujeres;25 y más años;2013;7
Bélgica;Mujeres;25 y más años;2012;6,5
Bélgica;Mujeres;25 y más años;2011;6,1
Bélgica;Mujeres;25 y más años;2010;7,3
Bélgica;Mujeres;25 y más años;2009;6,8
Bélgica;Hombres;Menos de 25 años;2023;17,6
Bélgica;Hombres;Menos de 25 años;2022;18,1
Bélgica;Hombres;Menos de 25 años;2021;19,9
Bélgica;Hombres;Menos de 25 años;2020;16,1
Bélgica;Hombres;Menos de 25 años;2019;16,3
Bélgica;Hombres;Menos de 25 años;2018;16,5
Bélgica;Hombres;Menos de 25 años;2017;20,3
Bélgica;Hombres;Menos de 25 años;2016;21,9
Bélgica;Hombres;Menos de 25 años;2015;24,1
Bélgica;Hombres;Menos de 25 años;2014;24,2
Bélgica;Hombres;Menos de 25 años;2013;25
Bélgica;Hombres;Menos de 25 años;2012;20,7
Bélgica;Hombres;Menos de 25 años;2011;18,9
Bélgica;Hombres;Menos de 25 años;2010;22,4
Bélgica;Hombres;Menos de 25 años;2009;21,6
Bélgica;Hombres;25 y más años;2023;4,9
Bélgica;Hombres;25 y más años;2022;4,8
Bélgica;Hombres;25 y más años;2021;5,5
Bélgica;Hombres;25 y más años;2020;5,2
Bélgica;Hombres;25 y más años;2019;5
Bélgica;Hombres;25 y más años;2018;5,6
Bélgica;Hombres;25 y más años;2017;6,1
Bélgica;Hombres;25 y más años;2016;7,1
Bélgica;Hombres;25 y más años;2015;8
Bélgica;Hombres;25 y más años;2014;7,8
Bélgica;Hombres;25 y más años;2013;7,3
Bélgica;Hombres;25 y más años;2012;6,5
Bélgica;Hombres;25 y más años;2011;6,1
Bélgica;Hombres;25 y más años;2010;6,8
Bélgica;Hombres;25 y más años;2009;6,5
Bélgica;Brecha de género (mujeres - hombres);Menos de 25 años;2023;-3,2
Bélgica;Brecha de género (mujeres - hombres);Menos de 25 años;2022;-3,7
Bélgica;Brecha de género (mujeres - hombres);Menos de 25 años;2021;-3,7
Bélgica;Brecha de género (mujeres - hombres);Menos de 25 años;2020;-0,5
Bélgica;Brecha de género (mujeres - hombres);Menos de 25 años;2019;-4
Bélgica;Brecha de género (mujeres - hombres);Menos de 25 años;2018;-1,2
Bélgica;Brecha de género (mujeres - hombres);Menos de 25 años;2017;-2,1
Bélgica;Brecha de género (mujeres - hombres);Menos de 25 años;2016;-3,6
Bélgica;Brecha de género (mujeres - hombres);Menos de 25 años;2015;-3,6
Bélgica;Brecha de género (mujeres - hombres);Menos de 25 años;2014;-1,7
Bélgica;Brecha de género (mujeres - hombres);Menos de 25 años;2013;-2,5
Bélgica;Brecha de género (mujeres - hombres);Menos de 25 años;2012;-1,7
Bélgica;Brecha de género (mujeres - hombres);Menos de 25 años;2011;0
Bélgica;Brecha de género (mujeres - hombres);Menos de 25 años;2010;0
Bélgica;Brecha de género (mujeres - hombres);Menos de 25 años;2009;1
Bélgica;Brecha de género (mujeres - hombres);25 y más años;2023;-0,7
Bélgica;Brecha de género (mujeres - hombres);25 y más años;2022;-0,3
Bélgica;Brecha de género (mujeres - hombres);25 y más años;2021;-0,5
Bélgica;Brecha de género (mujeres - hombres);25 y más años;2020;-0,5
Bélgica;Brecha de género (mujeres - hombres);25 y más años;2019;-0,6
Bélgica;Brecha de género (mujeres - hombres);25 y más años;2018;-0,8
Bélgica;Brecha de género (mujeres - hombres);25 y más años;2017;0,2
Bélgica;Brecha de género (mujeres - hombres);25 y más años;2016;-0,3
Bélgica;Brecha de género (mujeres - hombres);25 y más años;2015;-1,1
Bélgica;Brecha de género (mujeres - hombres);25 y más años;2014;-1
Bélgica;Brecha de género (mujeres - hombres);25 y más años;2013;-0,3
Bélgica;Brecha de género (mujeres - hombres);25 y más años;2012;0
Bélgica;Brecha de género (mujeres - hombres);25 y más años;2011;0
Bélgica;Brecha de género (mujeres - hombres);25 y más años;2010;0,5
Bélgica;Brecha de género (mujeres - hombres);25 y más años;2009;0,3
Bulgaria;Mujeres;Menos de 25 años;2023;11,1
Bulgaria;Mujeres;Menos de 25 años;2022;10,4
Bulgaria;Mujeres;Menos de 25 años;2021;15,3
Bulgaria;Mujeres;Menos de 25 años;2020;17,7
Bulgaria;Mujeres;Menos de 25 años;2019;11,9
Bulgaria;Mujeres;Menos de 25 años;2018;15,7
Bulgaria;Mujeres;Menos de 25 años;2017;16,3
Bulgaria;Mujeres;Menos de 25 años;2016;21,1
Bulgaria;Mujeres;Menos de 25 años;2015;26,7
Bulgaria;Mujeres;Menos de 25 años;2014;28,3
Bulgaria;Mujeres;Menos de 25 años;2013;30,3
Bulgaria;Mujeres;Menos de 25 años;2012;30,6
Bulgaria;Mujeres;Menos de 25 años;2011;28,1
Bulgaria;Mujeres;Menos de 25 años;2010;24,4
Bulgaria;Mujeres;Menos de 25 años;2009;17,8
Bulgaria;Mujeres;25 y más años;2023;4
Bulgaria;Mujeres;25 y más años;2022;3,7
Bulgaria;Mujeres;25 y más años;2021;4,7
Bulgaria;Mujeres;25 y más años;2020;5,3
Bulgaria;Mujeres;25 y más años;2019;4,6
Bulgaria;Mujeres;25 y más años;2018;5,2
Bulgaria;Mujeres;25 y más años;2017;6,5
Bulgaria;Mujeres;25 y más años;2016;7,4
Bulgaria;Mujeres;25 y más años;2015;8,6
Bulgaria;Mujeres;25 y más años;2014;10,5
Bulgaria;Mujeres;25 y más años;2013;11,8
Bulgaria;Mujeres;25 y más años;2012;10,6
Bulgaria;Mujeres;25 y más años;2011;10
Bulgaria;Mujeres;25 y más años;2010;9,6
Bulgaria;Mujeres;25 y más años;2009;7
Bulgaria;Hombres;Menos de 25 años;2023;12,8
Bulgaria;Hombres;Menos de 25 años;2022;10,8
Bulgaria;Hombres;Menos de 25 años;2021;16,1
Bulgaria;Hombres;Menos de 25 años;2020;17,3
Bulgaria;Hombres;Menos de 25 años;2019;12,3
Bulgaria;Hombres;Menos de 25 años;2018;16
Bulgaria;Hombres;Menos de 25 años;2017;16
Bulgaria;Hombres;Menos de 25 años;2016;20
Bulgaria;Hombres;Menos de 25 años;2015;23,6
Bulgaria;Hombres;Menos de 25 años;2014;26,1
Bulgaria;Hombres;Menos de 25 años;2013;32,2
Bulgaria;Hombres;Menos de 25 años;2012;31,5
Bulgaria;Hombres;Menos de 25 años;2011;28,2
Bulgaria;Hombres;Menos de 25 años;2010;25,5
Bulgaria;Hombres;Menos de 25 años;2009;20,3
Bulgaria;Hombres;25 y más años;2023;4
Bulgaria;Hombres;25 y más años;2022;4
Bulgaria;Hombres;25 y más años;2021;5
Bulgaria;Hombres;25 y más años;2020;5,9
Bulgaria;Hombres;25 y más años;2019;5,2
Bulgaria;Hombres;25 y más años;2018;6,2
Bulgaria;Hombres;25 y más años;2017;6,9
Bulgaria;Hombres;25 y más años;2016;8,5
Bulgaria;Hombres;25 y más años;2015;9,9
Bulgaria;Hombres;25 y más años;2014;12,4
Bulgaria;Hombres;25 y más años;2013;13,5
Bulgaria;Hombres;25 y más años;2012;13
Bulgaria;Hombres;25 y más años;2011;12
Bulgaria;Hombres;25 y más años;2010;10,6
Bulgaria;Hombres;25 y más años;2009;6,9
Bulgaria;Brecha de género (mujeres - hombres);Menos de 25 años;2023;-1,7
Bulgaria;Brecha de género (mujeres - hombres);Menos de 25 años;2022;-0,4
Bulgaria;Brecha de género (mujeres - hombres);Menos de 25 años;2021;-0,8
Bulgaria;Brecha de género (mujeres - hombres);Menos de 25 años;2020;0,4
Bulgaria;Brecha de género (mujeres - hombres);Menos de 25 años;2019;-0,4
Bulgaria;Brecha de género (mujeres - hombres);Menos de 25 años;2018;-0,3
Bulgaria;Brecha de género (mujeres - hombres);Menos de 25 años;2017;0,3
Bulgaria;Brecha de género (mujeres - hombres);Menos de 25 años;2016;1,1
Bulgaria;Brecha de género (mujeres - hombres);Menos de 25 años;2015;3,1
Bulgaria;Brecha de género (mujeres - hombres);Menos de 25 años;2014;2,2
Bulgaria;Brecha de género (mujeres - hombres);Menos de 25 años;2013;-1,9
Bulgaria;Brecha de género (mujeres - hombres);Menos de 25 años;2012;-0,9
Bulgaria;Brecha de género (mujeres - hombres);Menos de 25 años;2011;-0,1
Bulgaria;Brecha de género (mujeres - hombres);Menos de 25 años;2010;-1,1
Bulgaria;Brecha de género (mujeres - hombres);Menos de 25 años;2009;-2,5
Bulgaria;Brecha de género (mujeres - hombres);25 y más años;2023;0
Bulgaria;Brecha de género (mujeres - hombres);25 y más años;2022;-0,3
Bulgaria;Brecha de género (mujeres - hombres);25 y más años;2021;-0,3
Bulgaria;Brecha de género (mujeres - hombres);25 y más años;2020;-0,6
Bulgaria;Brecha de género (mujeres - hombres);25 y más años;2019;-0,6
Bulgaria;Brecha de género (mujeres - hombres);25 y más años;2018;-1
Bulgaria;Brecha de género (mujeres - hombres);25 y más años;2017;-0,4
Bulgaria;Brecha de género (mujeres - hombres);25 y más años;2016;-1,1
Bulgaria;Brecha de género (mujeres - hombres);25 y más años;2015;-1,3
Bulgaria;Brecha de género (mujeres - hombres);25 y más años;2014;-1,9
Bulgaria;Brecha de género (mujeres - hombres);25 y más años;2013;-1,7
Bulgaria;Brecha de género (mujeres - hombres);25 y más años;2012;-2,4
Bulgaria;Brecha de género (mujeres - hombres);25 y más años;2011;-2
Bulgaria;Brecha de género (mujeres - hombres);25 y más años;2010;-1
Bulgaria;Brecha de género (mujeres - hombres);25 y más años;2009;0,1
República Checa;Mujeres;Menos de 25 años;2023;8,8
República Checa;Mujeres;Menos de 25 años;2022;7,9
República Checa;Mujeres;Menos de 25 años;2021;9,1
República Checa;Mujeres;Menos de 25 años;2020;9,2
República Checa;Mujeres;Menos de 25 años;2019;6
República Checa;Mujeres;Menos de 25 años;2018;7,2
República Checa;Mujeres;Menos de 25 años;2017;8,7
República Checa;Mujeres;Menos de 25 años;2016;11,4
República Checa;Mujeres;Menos de 25 años;2015;14,4
República Checa;Mujeres;Menos de 25 años;2014;17,1
República Checa;Mujeres;Menos de 25 años;2013;19,4
República Checa;Mujeres;Menos de 25 años;2012;19
República Checa;Mujeres;Menos de 25 años;2011;18
República Checa;Mujeres;Menos de 25 años;2010;18,5
República Checa;Mujeres;Menos de 25 años;2009;16,7
República Checa;Mujeres;25 y más años;2023;2,7
República Checa;Mujeres;25 y más años;2022;2,5
República Checa;Mujeres;25 y más años;2021;3,2
República Checa;Mujeres;25 y más años;2020;2,7
República Checa;Mujeres;25 y más años;2019;2,2
República Checa;Mujeres;25 y más años;2018;2,6
República Checa;Mujeres;25 y más años;2017;3,3
República Checa;Mujeres;25 y más años;2016;4,3
República Checa;Mujeres;25 y más años;2015;5,5
República Checa;Mujeres;25 y más años;2014;6,8
República Checa;Mujeres;25 y más años;2013;7,5
República Checa;Mujeres;25 y más años;2012;7,5
República Checa;Mujeres;25 y más años;2011;7,2
República Checa;Mujeres;25 y más años;2010;7,7
República Checa;Mujeres;25 y más años;2009;7
República Checa;Hombres;Menos de 25 años;2023;7,9
República Checa;Hombres;Menos de 25 años;2022;6
República Checa;Hombres;Menos de 25 años;2021;7,6
República Checa;Hombres;Menos de 25 años;2020;7,2
República Checa;Hombres;Menos de 25 años;2019;5,4
República Checa;Hombres;Menos de 25 años;2018;6,4
República Checa;Hombres;Menos de 25 años;2017;7,4
República Checa;Hombres;Menos de 25 años;2016;9,9
República Checa;Hombres;Menos de 25 años;2015;11,3
República Checa;Hombres;Menos de 25 años;2014;15
República Checa;Hombres;Menos de 25 años;2013;18,6
República Checa;Hombres;Menos de 25 años;2012;19,9
República Checa;Hombres;Menos de 25 años;2011;18,1
República Checa;Hombres;Menos de 25 años;2010;18,2
República Checa;Hombres;Menos de 25 años;2009;16,6
República Checa;Hombres;25 y más años;2023;1,9
República Checa;Hombres;25 y más años;2022;1,6
República Checa;Hombres;25 y más años;2021;2
República Checa;Hombres;25 y más años;2020;1,9
República Checa;Hombres;25 y más años;2019;1,5
República Checa;Hombres;25 y más años;2018;1,5
República Checa;Hombres;25 y más años;2017;2
República Checa;Hombres;25 y más años;2016;2,9
República Checa;Hombres;25 y más años;2015;3,7
República Checa;Hombres;25 y más años;2014;4,3
República Checa;Hombres;25 y más años;2013;4,9
República Checa;Hombres;25 y más años;2012;4,9
República Checa;Hombres;25 y más años;2011;4,8
República Checa;Hombres;25 y más años;2010;5,4
República Checa;Hombres;25 y más años;2009;4,9
República Checa;Brecha de género (mujeres - hombres);Menos de 25 años;2023;0,9
República Checa;Brecha de género (mujeres - hombres);Menos de 25 años;2022;1,9
República Checa;Brecha de género (mujeres - hombres);Menos de 25 años;2021;1,5
República Checa;Brecha de género (mujeres - hombres);Menos de 25 años;2020;2
República Checa;Brecha de género (mujeres - hombres);Menos de 25 años;2019;0,6
República Checa;Brecha de género (mujeres - hombres);Menos de 25 años;2018;0,8
República Checa;Brecha de género (mujeres - hombres);Menos de 25 años;2017;1,3
República Checa;Brecha de género (mujeres - hombres);Menos de 25 años;2016;1,5
República Checa;Brecha de género (mujeres - hombres);Menos de 25 años;2015;3,1
República Checa;Brecha de género (mujeres - hombres);Menos de 25 años;2014;2,1
República Checa;Brecha de género (mujeres - hombres);Menos de 25 años;2013;0,8
República Checa;Brecha de género (mujeres - hombres);Menos de 25 años;2012;-0,9
República Checa;Brecha de género (mujeres - hombres);Menos de 25 años;2011;-0,1
República Checa;Brecha de género (mujeres - hombres);Menos de 25 años;2010;0,3
República Checa;Brecha de género (mujeres - hombres);Menos de 25 años;2009;0,1
República Checa;Brecha de género (mujeres - hombres);25 y más años;2023;0,8
República Checa;Brecha de género (mujeres - hombres);25 y más años;2022;0,9
República Checa;Brecha de género (mujeres - hombres);25 y más años;2021;1,2
República Checa;Brecha de género (mujeres - hombres);25 y más años;2020;0,8
República Checa;Brecha de género (mujeres - hombres);25 y más años;2019;0,7
República Checa;Brecha de género (mujeres - hombres);25 y más años;2018;1,1
República Checa;Brecha de género (mujeres - hombres);25 y más años;2017;1,3
República Checa;Brecha de género (mujeres - hombres);25 y más años;2016;1,4
República Checa;Brecha de género (mujeres - hombres);25 y más años;2015;1,8
República Checa;Brecha de género (mujeres - hombres);25 y más años;2014;2,5
República Checa;Brecha de género (mujeres - hombres);25 y más años;2013;2,6
República Checa;Brecha de género (mujeres - hombres);25 y más años;2012;2,6
República Checa;Brecha de género (mujeres - hombres);25 y más años;2011;2,4
República Checa;Brecha de género (mujeres - hombres);25 y más años;2010;2,3
República Checa;Brecha de género (mujeres - hombres);25 y más años;2009;2,1
Dinamarca;Mujeres;Menos de 25 años;2023;11,3
Dinamarca;Mujeres;Menos de 25 años;2022;10,5
Dinamarca;Mujeres;Menos de 25 años;2021;11
Dinamarca;Mujeres;Menos de 25 años;2020;10,6
Dinamarca;Mujeres;Menos de 25 años;2019;9,7
Dinamarca;Mujeres;Menos de 25 años;2018;9,2
Dinamarca;Mujeres;Menos de 25 años;2017;11,9
Dinamarca;Mujeres;Menos de 25 años;2016;10,8
Dinamarca;Mujeres;Menos de 25 años;2015;11,1
Dinamarca;Mujeres;Menos de 25 años;2014;12,9
Dinamarca;Mujeres;Menos de 25 años;2013;13,3
Dinamarca;Mujeres;Menos de 25 años;2012;14,8
Dinamarca;Mujeres;Menos de 25 años;2011;14,4
Dinamarca;Mujeres;Menos de 25 años;2010;13,2
Dinamarca;Mujeres;Menos de 25 años;2009;11,6
Dinamarca;Mujeres;25 y más años;2023;4,2
Dinamarca;Mujeres;25 y más años;2022;3,5
Dinamarca;Mujeres;25 y más años;2021;4,2
Dinamarca;Mujeres;25 y más años;2020;5,2
Dinamarca;Mujeres;25 y más años;2019;4,5
Dinamarca;Mujeres;25 y más años;2018;4,6
Dinamarca;Mujeres;25 y más años;2017;5
Dinamarca;Mujeres;25 y más años;2016;5,5
Dinamarca;Mujeres;25 y más años;2015;5,7
Dinamarca;Mujeres;25 y más años;2014;6,1
Dinamarca;Mujeres;25 y más años;2013;6,7
