Países;Secciones;Periodo;Total
UE27_2020;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2021;12,7
UE27_2020;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2020;12,9
UE27_2020;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2019;13,7
UE27_2020;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2018;14,4
UE27_2020;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2017;14,6
UE27_2020;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2016;15,1
UE27_2020;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2015;15,5
UE27_2020;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2014;15,7
UE27_2020;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2013;16
UE27_2020;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2012;16,4
UE27_2020;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2011;16,2
UE27_2020;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2010;15,8
UE27_2020;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2009;..
UE27_2020;O Administración Pública y defensa, Seguridad Social obligatoria;2021;..
UE27_2020;O Administración Pública y defensa, Seguridad Social obligatoria;2020;..
UE27_2020;O Administración Pública y defensa, Seguridad Social obligatoria;2019;..
UE27_2020;O Administración Pública y defensa, Seguridad Social obligatoria;2018;..
UE27_2020;O Administración Pública y defensa, Seguridad Social obligatoria;2017;..
UE27_2020;O Administración Pública y defensa, Seguridad Social obligatoria;2016;..
UE27_2020;O Administración Pública y defensa, Seguridad Social obligatoria;2015;..
UE27_2020;O Administración Pública y defensa, Seguridad Social obligatoria;2014;..
UE27_2020;O Administración Pública y defensa, Seguridad Social obligatoria;2013;..
UE27_2020;O Administración Pública y defensa, Seguridad Social obligatoria;2012;..
UE27_2020;O Administración Pública y defensa, Seguridad Social obligatoria;2011;..
UE27_2020;O Administración Pública y defensa, Seguridad Social obligatoria;2010;..
UE27_2020;O Administración Pública y defensa, Seguridad Social obligatoria;2009;..
Bélgica;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2021;..
Bélgica;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2020;..
Bélgica;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2019;..
Bélgica;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2018;..
Bélgica;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2017;..
Bélgica;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2016;..
Bélgica;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2015;..
Bélgica;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2014;..
Bélgica;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2013;..
Bélgica;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2012;..
Bélgica;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2011;..
Bélgica;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2010;..
Bélgica;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2009;..
Bélgica;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2021;5
Bélgica;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2020;5,3
Bélgica;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2019;5,8
Bélgica;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2018;5,8
Bélgica;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2017;5,8
Bélgica;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2016;6
Bélgica;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2015;6,4
Bélgica;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2014;6,6
Bélgica;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2013;7,5
Bélgica;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2012;8,3
Bélgica;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2011;9,4
Bélgica;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2010;10,2
Bélgica;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2009;10,1
Bélgica;O Administración Pública y defensa, Seguridad Social obligatoria;2021;..
Bélgica;O Administración Pública y defensa, Seguridad Social obligatoria;2020;..
Bélgica;O Administración Pública y defensa, Seguridad Social obligatoria;2019;..
Bélgica;O Administración Pública y defensa, Seguridad Social obligatoria;2018;..
Bélgica;O Administración Pública y defensa, Seguridad Social obligatoria;2017;..
Bélgica;O Administración Pública y defensa, Seguridad Social obligatoria;2016;..
Bélgica;O Administración Pública y defensa, Seguridad Social obligatoria;2015;..
Bélgica;O Administración Pública y defensa, Seguridad Social obligatoria;2014;..
Bélgica;O Administración Pública y defensa, Seguridad Social obligatoria;2013;..
Bélgica;O Administración Pública y defensa, Seguridad Social obligatoria;2012;..
Bélgica;O Administración Pública y defensa, Seguridad Social obligatoria;2011;..
Bélgica;O Administración Pública y defensa, Seguridad Social obligatoria;2010;..
Bélgica;O Administración Pública y defensa, Seguridad Social obligatoria;2009;..
Bulgaria;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2021;11,8
Bulgaria;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2020;12,3
Bulgaria;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2019;13,7
Bulgaria;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2018;13,6
Bulgaria;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2017;13,8
Bulgaria;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2016;13,8
Bulgaria;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2015;14,5
Bulgaria;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2014;12,9
Bulgaria;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2013;12,7
Bulgaria;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2012;14
Bulgaria;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2011;12,2
Bulgaria;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2010;12,3
Bulgaria;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2009;12,5
Bulgaria;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2021;12,2
Bulgaria;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2020;12,7
Bulgaria;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2019;14,1
Bulgaria;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2018;13,9
Bulgaria;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2017;14,3
Bulgaria;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2016;14,6
Bulgaria;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2015;15,5
Bulgaria;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2014;14,2
Bulgaria;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2013;14,1
Bulgaria;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2012;15,1
Bulgaria;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2011;13,2
Bulgaria;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2010;13
Bulgaria;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2009;13,3
Bulgaria;O Administración Pública y defensa, Seguridad Social obligatoria;2021;11,3
Bulgaria;O Administración Pública y defensa, Seguridad Social obligatoria;2020;10,2
Bulgaria;O Administración Pública y defensa, Seguridad Social obligatoria;2019;8,4
Bulgaria;O Administración Pública y defensa, Seguridad Social obligatoria;2018;8,3
Bulgaria;O Administración Pública y defensa, Seguridad Social obligatoria;2017;8,8
Bulgaria;O Administración Pública y defensa, Seguridad Social obligatoria;2016;6,3
Bulgaria;O Administración Pública y defensa, Seguridad Social obligatoria;2015;7
Bulgaria;O Administración Pública y defensa, Seguridad Social obligatoria;2014;5,2
Bulgaria;O Administración Pública y defensa, Seguridad Social obligatoria;2013;3,7
Bulgaria;O Administración Pública y defensa, Seguridad Social obligatoria;2012;9,2
Bulgaria;O Administración Pública y defensa, Seguridad Social obligatoria;2011;9,5
Bulgaria;O Administración Pública y defensa, Seguridad Social obligatoria;2010;12,5
Bulgaria;O Administración Pública y defensa, Seguridad Social obligatoria;2009;13
República Checa;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2021;14,9
República Checa;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2020;16,1
República Checa;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2019;18,7
República Checa;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2018;19,5
República Checa;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2017;20,3
República Checa;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2016;20,7
República Checa;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2015;21,5
República Checa;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2014;21,6
República Checa;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2013;21,3
República Checa;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2012;21,7
República Checa;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2011;21,8
República Checa;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2010;20,9
República Checa;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2009;25
República Checa;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2021;15
República Checa;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2020;16,4
República Checa;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2019;19,2
República Checa;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2018;20,1
República Checa;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2017;21,1
República Checa;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2016;21,5
República Checa;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2015;22,5
República Checa;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2014;22,5
República Checa;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2013;22,3
República Checa;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2012;22,5
República Checa;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2011;22,6
República Checa;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2010;21,6
República Checa;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2009;25,9
República Checa;O Administración Pública y defensa, Seguridad Social obligatoria;2021;15,2
República Checa;O Administración Pública y defensa, Seguridad Social obligatoria;2020;15
República Checa;O Administración Pública y defensa, Seguridad Social obligatoria;2019;15,5
República Checa;O Administración Pública y defensa, Seguridad Social obligatoria;2018;15,7
República Checa;O Administración Pública y defensa, Seguridad Social obligatoria;2017;14,1
República Checa;O Administración Pública y defensa, Seguridad Social obligatoria;2016;13,2
República Checa;O Administración Pública y defensa, Seguridad Social obligatoria;2015;13,2
República Checa;O Administración Pública y defensa, Seguridad Social obligatoria;2014;12,6
República Checa;O Administración Pública y defensa, Seguridad Social obligatoria;2013;12,3
República Checa;O Administración Pública y defensa, Seguridad Social obligatoria;2012;13,8
República Checa;O Administración Pública y defensa, Seguridad Social obligatoria;2011;14,2
República Checa;O Administración Pública y defensa, Seguridad Social obligatoria;2010;16,3
República Checa;O Administración Pública y defensa, Seguridad Social obligatoria;2009;17
Dinamarca;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2021;13,7
Dinamarca;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2020;13,4
Dinamarca;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2019;13,6
Dinamarca;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2018;14,3
Dinamarca;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2017;14,5
Dinamarca;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2016;14,7
Dinamarca;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2015;14,7
Dinamarca;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2014;15,7
Dinamarca;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2013;16,2
Dinamarca;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2012;16,4
Dinamarca;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2011;16
Dinamarca;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2010;16,8
Dinamarca;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2009;15,7
Dinamarca;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2021;14,2
Dinamarca;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2020;13,9
Dinamarca;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2019;14
Dinamarca;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2018;14,6
Dinamarca;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2017;14,8
Dinamarca;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2016;15,1
Dinamarca;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2015;15,1
Dinamarca;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2014;16
Dinamarca;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2013;16,5
Dinamarca;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2012;16,8
Dinamarca;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2011;16,4
Dinamarca;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2010;17,1
Dinamarca;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2009;16,8
Dinamarca;O Administración Pública y defensa, Seguridad Social obligatoria;2021;6,1
Dinamarca;O Administración Pública y defensa, Seguridad Social obligatoria;2020;5,7
Dinamarca;O Administración Pública y defensa, Seguridad Social obligatoria;2019;7,1
Dinamarca;O Administración Pública y defensa, Seguridad Social obligatoria;2018;9,3
Dinamarca;O Administración Pública y defensa, Seguridad Social obligatoria;2017;7,8
Dinamarca;O Administración Pública y defensa, Seguridad Social obligatoria;2016;7,7
Dinamarca;O Administración Pública y defensa, Seguridad Social obligatoria;2015;7,9
Dinamarca;O Administración Pública y defensa, Seguridad Social obligatoria;2014;11
Dinamarca;O Administración Pública y defensa, Seguridad Social obligatoria;2013;10
Dinamarca;O Administración Pública y defensa, Seguridad Social obligatoria;2012;9,4
Dinamarca;O Administración Pública y defensa, Seguridad Social obligatoria;2011;9,5
Dinamarca;O Administración Pública y defensa, Seguridad Social obligatoria;2010;11,7
Dinamarca;O Administración Pública y defensa, Seguridad Social obligatoria;2009;11
Alemania;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2021;16,7
Alemania;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2020;17,3
Alemania;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2019;18,3
Alemania;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2018;19
Alemania;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2017;19,4
Alemania;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2016;20,1
Alemania;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2015;20,6
Alemania;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2014;21,1
Alemania;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2013;20,8
Alemania;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2012;21,5
Alemania;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2011;20,9
Alemania;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2010;20,8
Alemania;B_S Secciones B-S: Industria, construcción y servicios (excepto actividades de los hogares como empleadores y organizaciones extraterritoriales);2009;..
Alemania;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2021;17,6
Alemania;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2020;18,3
Alemania;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2019;19,2
Alemania;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2018;20,1
Alemania;Secciones B-S excepto O: Industria, construcción y servicios (excepto Administración Pública, defensa, seguridad social obligatoria);2017;20,4
